content,num_unique_words,total_num_words,label
use Perl Daily Headline Mailer Perl CMS Systems posted by ziggy on Tuesday September 03 05 00 tools http use perl org article pl sid 02 09 02 1827239 1998 Perl Conference CD Online posted by gnat on Tuesday September 03 19 34 news http use perl org article pl sid 02 09 03 2334251 Bricolage 1 4 0 Escapes posted by chip on Tuesday September 03 19 57 tools http use perl org article pl sid 02 09 04 002204 Copyright 1997 2002 pudge All rights reserved You have received this message because you subscribed to it on use Perl To stop receiving this and other messages from use Perl or to add more messages or change your preferences please go to your user page http use perl org my messages You can log in and change your preferences from there ,83,142,hamnspam\ham
You can also duplicate thiswith MsgChange noshow at the Tcl prompt in the Log window I suspect that the sequence parser which understands things like 5 22 to mean messages 5 through 22 is confused when asked to add remove message from a sequence If we are allowed to assume 8 2 or higher which we can t really then we could add if string is integer select sel bail out of message select mode to the SelectTypein procedure We can probably survive with if regexp 0 9 select sel bail out of message select mode Robert Elz said Date Mon 26 Aug 2002 09 27 56 0500 From Chris Garrigues cwg dated 1030804078 e8b0d5 DeepEddy Co m Message ID 1030372078 11075 TMDA deepeddy vircio com Tell me what keystroke made it happen so I can reproduce it and I ll see what I can do about it or if I can t I ll hand it off to Brent Don t worry too much about it you seem to have plenty of other things to do in the immediate future and this one isn t so critical that people can t use the code in normal ways But to make it happen type with normal key bindings any digit so the code thinks you re trying a message number then backspace so the digit goes away then other junk characters don t seem to have the problem I have just been playing That will do it every time That is 0 h Once you get into that state the same traceback occurs for every character you type until a message is selected with the mouse This is looking like it might be easy to find and fix so I ll take a look at it later Brent Welch Software Architect Panasas Inc Pioneering the World s Most Scalable and Agile Storage Network www panasas com welch panasas com _______________________________________________ Exmh workers mailing list Exmh workers redhat com https listman redhat com mailman listinfo exmh workers ,211,336,hamnspam\ham
John Hall Ran across a site which claimed to explain the original meaning of the Ten Commandments It seems some of those meanings have evolved a bit too You mean that Thou shalt not covet thy neighbour s ass used to be about donkeys Inconceivable R ,42,46,hamnspam\ham
At 05 38 PM 9 30 2002 0200 Eugen Leitl wrote Looks useful Hopefully they ll put up some more material soon http ocw mit edu global all courses html I ll be sure to keep everyone posted on the next update B K DeLong bkdelong ceci mit edu OpenCourseWare 1 617 258 0360 1 617 877 3271 cell ,54,59,hamnspam\ham
 Looks like your ham corpus by and large has To jeremy alum mit edu in a header while your spam corpus by and large doesn t But this one does Interestingly for me one of the highest value spam indicators was the name of the mail host that the spam was delivered to in the To line So mail to info gin elax2 ekorp com was pretty much a dead cert for the filters Anthony Baxter anthony interlink com au It s never too late to have a happy childhood ,65,90,hamnspam\ham
I think that this and other articles confuse Socialism with Bureaucracy Libertarianism as implemented in North America is not exactly the shining pinnacle of economic efficiency Just try starting a telephone company in the US or even worse Canada It can take a year or more to get the blessing of our own Permit Rajs at the FCC PUC and PTTs or in the decidedly more socialist leaning Canada Industry Canada and the CRTC Yet despite all of this intense regulation and paper pushing as well as regulatory scrutiny by the FTC SEC and IRS the executives of Telecom Companies have managed to bilk the investment community for what looks to be tens of billions of dollars They finished their routine with the a quadruple lutz laying off hundreds of thousands of workers when it all came crashing down So tell me again how are we better off Ian On Tuesday August 20 2002 at 12 09 PM John Hall wrote The Mystery of Capital Why Capitalism Triumphs in the West and Fails Everywhere Else by Hernando De Soto Is something I m reading now My impression is that France is not anywhere near the Permit Raj nightmare that India is and became Nor has its market been closed like India s has But De Soto s work is perhaps just as important or more so He hasn t dealt specifically with India but I recall examples from Peru Philippines and Egypt In Lima his team took over a year I think it was 2 working 8 hr days to legally register a 1 person company In the Philippines getting legal title can take 20 years In Egypt about 80 of the population in Cairo lives in places where they are officially illegal India hasn t been helped by its socialism Socialism has certainly helped strangle the country in permits But perhaps De Soto is right that the real crippling thing is keeping most of the people out of the legal official property system Putting most of the people in the property system was something the west only finished about 100 years ago or Japan did 50 years ago It wasn t easy but we live in a society that doesn t even remember we did it Original Message From fork admin xent com mailto fork admin xent com On Behalf Of Robert Harley Sent Tuesday August 20 2002 11 24 AM To fork example com Subject Re The Curse of India s Socialism RAH quoted Indians are not poor because there are too many of them they are poor because there are too many regulations and too much government intervention even today a decade after reforms were begun India s greatest problems arise from a political culture guided by socialist instincts on the one hand and an imbedded legal obligation on the other hand Nice theory and all but s India France g and the statements hold just as true yet France is 12 in the UN s HDI ranking not 124 Since all parties must stand for socialism no party espouses classical liberalism I m not convinced that that classical liberalism is a good solution for countries in real difficulty See Joseph Stiglitz Nobel for Economics on the FMI s failed remedies Of course googling on Stiglitz FMI only brings up links in Spanish and French I guess that variety of spin is non grata in many anglo circles R http xent com mailman listinfo fork http xent com mailman listinfo fork http xent com mailman listinfo fork ,341,590,hamnspam\ham
 Anarchist Scavenger Hunt Raises D C Police Ire Sat Sep 21 3 37 PM ET WASHINGTON Reuters An online anarchist scavenger hunt proposed for next week s annual meeting of the International Monetary Fund news web sites and World Bank news web sites here has raised the ire of police who fear demonstrators could damage property and wreak havoc Break a McDonald s window get 300 points Puncture a Washington D C police car tire to win 75 points Score 400 points for a pie in the face of a corporate executive or World Bank delegate D C Assistant Police Chief Terrance Gainer told a congressional hearing on Friday that law authorities were in talks to decide whether planned protests were so deleterious to security efforts that we ought to take proactive action Several thousand people are expected to demonstrate outside the IMF and World Bank headquarters next weekend The Anti Capitalist Convergence a D C based anarchist group is also planning a day long traffic blockade banner drops and protests against major corporations in the downtown core Chuck the 37 year old webmaster of the anarchist site www infoshop org who declined to give his last name told Reuters his scavenger hunt was meant as a joke People were asking for things to do when they come to D C We made the list to get people thinking so they don t do the boring standard stuff he said I doubt people will actually keep track of what they do for points ,175,253,hamnspam\ham
 J James Rogers jamesr best com writes J The part that makes the app killer is that you can map all J sorts of data layers on top of their core topological data J Got it Ah ok so some sample applications come to mind although none of them require wireless and would do with a DVD but nonetheless Forestry Maps of the terrain are essential in predicting the spread of forest fires esp if this is overlaid with the type of vegetation recent waterfall c farming conservation can use the high resolution terrain to overlay water tables or watershed info Gary Lawrence Murphy garym teledyn com TeleDynamics Communications Inc Business Advantage through Community Software http www teledyn com Computers are useless They can only give you answers Pablo Picasso ,105,130,hamnspam\ham
 Original Message From James Rogers jamesr best com As I ve said before American Indian Reservations are quite possibly the only place on the planet where you can find trailer park shantytowns where every household is bringing in a six figure income I wish I could be exploited like that If you can t trust the guvmint census who can you trust http www census gov Press Release www 2001 cb01fff15 html Income and Poverty 31 799 Median household income for American Indians and Alaska Natives based on a 1998 2000 average This is higher than for African Americans 28 679 not statistically different from Hispanics 31 703 and lower than for non Hispanic Whites 45 514 and Asians and Pacific Islanders 52 553 http www census gov Press Release www 2001 cb01 158 html 25 9 The poverty rate for American Indians and Alaska Natives based on a 1998 2000 average This rate was not statistically different from the rates for African Americans and Hispanics but was higher than those for non Hispanic Whites and Asians and Pacific Islanders http www census gov Press Release www 2001 cb01 158 html 701 000 Number of American Indians and Alaska Natives below the poverty line based on a 1998 2000 average http www census gov Press Release www 2001 cb01 158 html ,115,221,hamnspam\ham
While I was playing with the past issues it annoyed me that there was no easy way to make the log stop growing I don t mean to truncate it I mean to just freeze it for a while The following patch adds a new button to the log window which allows the log to be switched on off the button says Disable when the log is enabled and the button disables it and Enable when the log is frozen and the button enables it again kre main tcl Wed Aug 21 15 01 48 2002 usr local lib exmh 2 5 main tcl Wed Aug 28 17 36 59 2002 385 6 385 9 ExmhLogCreate wm withdraw exmh logTop if exmh logWrite return if info exists exmh log catch exmh log insert end bw_delta 407 6 410 9 set exmh logWindow 1 Exwin_Toplevel log Exmh Log Log set exmh logTop log set exmh logDisableBut Widget_AddBut exmh logTop but swap Disable ExmhLogToggle set exmh logWrite 1 Widget_AddBut exmh logTop but trunc Truncate ExmhLogTrunc Widget_AddBut exmh logTop but save Save To File ExmhLogSave set exmh logYview 1 457 6 463 12 msg Exmh_Status Cannot save log msg error proc ExmhLogToggle global exmh set exmh logWrite expr exmh logWrite exmh logDisableBut configure text lindex Enable Disable exmh logWrite Misc _______________________________________________ Exmh workers mailing list Exmh workers redhat com https listman redhat com mailman listinfo exmh workers ,136,234,hamnspam\ham
 In forteana y Martin Adamson martin s wrote For an alternative and rather more factually based rundown on Hamza s career including his belief that all non Muslims in Yemen should be murdered outright http memri org bin articles cgi Page archives Area ia ID IA7201 And we know how unbiased MEMRI is don t we http www guardian co uk elsewhere journalist story 0 7792 773258 00 html Rob Yahoo Groups Sponsor 4 DVDs Free s p Join Now http us click yahoo com pt6YBB NXiEAA MVfIAA 7gSolB TM To unsubscribe from this group send an email to forteana unsubscribe egroups com Your use of Yahoo Groups is subject to http docs yahoo com info terms ,101,117,hamnspam\ham
 http sf net project showfiles php group_id 61702 This is the binary pickle of my classifier after training on my first spam ham corpora pair All records with spamprob UNKNOWN_SPAMPROB have been purged It s in a zip file and is only half a meg Jeremy it would be interesting if you tried that on your data The false negative rates across my other 4 test sets when run against this are 0 364 0 400 0 400 0 909 ,71,80,hamnspam\ham
Hi all We re looking for an experienced IT support person in the School of Engineering at UC Santa Cruz please foward to anyone who you think might be interested Jim Original Message From Michael Perrone mailto mperrone cs ucsc edu Sent Thursday September 05 2002 12 31 PM To techstaff cse ucsc edu Subject Recruiting for PAIII IV Supervisor Dear SoE Community Forgive the spam but I wanted to make sure that everyone is aware that we are recruiting to replace the position vacated by Gary Moro This is a technical position with supervisor responsibilities The focus is on Solaris and Linux systems administration with Veritas and Irix experience a plus The posting is here http www2 ucsc edu staff_hr employment listings 020809 htm Regards Michael Perrone ,108,128,hamnspam\ham
So last night around 5 30AM I m woken up by a loud craaack followed by one of the most dreaded sounds a homeowner ever hears vast quantities of water spilling onto the floor The water is coming from the bathroom the toilet specifically Turns out the water cistern on the top of the toilet had cracked down the side and was spilling out all the water So after shutting off the water and mopping up I was left to ponder what are the odds of having mechanical failure of a large rectangular porcelain bowl in the absence of any visible stressors like someone striking it with a sledgehammer We hadn t done anything unusual to the toilet in the recent past just normal use I ve never heard of this happening to anyone I know The guts yeah they fail all the time But the storage bowl never Geesh Jim http xent com mailman listinfo fork ,110,157,hamnspam\ham
URL http diveintomark org archives 2002 10 03 html microsoft_redesign Date 2002 10 03T14 42 29 05 00 _Jeffrey Zeldman_ Party like it s 1997 1 8220 Microsoft has redesigned Its new layout uses font tags and other deprecated junk straight out of the mid 1990s When a W3C member company that helped create XHTML and CSS ignores or misuses those web standards on its corporate site you have to wonder who didn t get the memo 8221 The new design also fails even the most basic accessibility tests 2 the home page contains 80 instances of images without ALT text This is the same basic failing for which the Sydney Organizing Committee for the Olympic Games was successfully sued in 2000 3 Here is what microsoft com looks like in a text only browser 4 To better understand the experience take a piece of paper and cover your entire monitor except for the top line then scroll the window slowly so you can only read one line at a time While nothing is technically locked out all the links are regular links nothing requires Javascript to function properly all the un ALT enhanced images which are mostly spacer images and images as bullets add so much clutter to the page that it s very difficult to navigate Meanwhile I don t want to imagine what it would sound like through a screen reader Want to find the search box That s 8220 1pttrans dot gif 1pttrans dot gif search for 1pttrans dot gif 1pttrans dot gif form edit box 1pttrans dot gif submit button go 1pttrans dot gif link advanced search 1pttrans dot gif 8221 And I hope you weren t looking for Microsoft s accessibility home page 5 it s the 76th link on the page out of 76 1 http www zeldman com daily 0902b html prince 2 http bobby watchfire com bobby bobbyServlet advanced true URL http 3A 2F 2Fwww microsoft com 2F gl wcag1 a Text text line line an_errs an_errs stealth Bobby 2F3 3 output Submit 3 http www contenu nu socog html 4 http diveintomark org public microsoft_lynx_output txt 5 http www microsoft com enable ,226,362,hamnspam\ham
 Oh my Janitor boom boom boom The best place for new music is right where it s always been College radio UCI UCSD USD Claremont s KSPC UCLA Cal Fullerton Cal LA Cal Pomona Greg Joseph S Barrera III wrote Can anyone stop talking politics long enough to let me know that yes indeed they do remember the Suburban Lawns Better yet tell me where I should be listening for new music now that P2P is dead and I still can t pick up KFJC very well Joe ,75,88,hamnspam\ham
On Mon 30 Sep 2002 Tom wrote If the set passes around enough then more people have these works the more folks that have them now while they are still legal to have the likely they will be left behind in the possible probabale copyright chillout and if that doesnt happen then more folks than not will still We will be getting BlackNet like guerilla P2P pretty soon Packaging it into wormcode with an initial userbase of a few 100 k to Mnodes gives you pretty bulletproof plausible deniability have it for uses all manner of shades ,77,97,hamnspam\ham
Once upon a time Thomas wrote On Sun 29 Sep 2002 Thomas Vander Stichele wrote INFO 15299 0 gst_xml_registry_rebuild 1555 Plugin usr lib gst libgstwincodec so failed to load Error loading plugin usr lib gst libgstwincodec so reason usr lib libaviplay 0 7 so 0 undefined symbol _ZTVN10__cxxabiv120__si_class_type_infoE Are you using the same version of GCC to compile the plugin as its C dependencies Yes I am Everything is built inside a chroot I think it isn t linking to a lib somewhere I m just not sure what lib it should preloading here Anyway to find out which one it is Looks like a problem with the avifile you ve rebuilt I ve been unable to recompile successfully the latest version on 8 0 Matthias Matthias Saou World Trade Center Edificio Norte 4 Planta System and Network Engineer 08039 Barcelona Spain Electronic Group Interactive Phone 34 936 00 23 23 _______________________________________________ RPM List mailing list RPM List freshrpms net http lists freshrpms net mailman listinfo rpm list ,126,168,hamnspam\ham
 What are you trying to sell What is the Value Example Does Pratchett sell paper bound by glue or does he sell stories Question When I buy a book have I purchased the story When I sell the book does any of that revenue go to mr Pratchett What if I read the book and give it to someone who then reads it and gives it to someone who then reads it and gives it to someones bookcrossing com though with more succesfull passings Does each reader send Mr Pratchett money Have Used Bookstores Recorstores etc destroyed the system of book record economy AS to the resident sourpuss in germany bitter may be better but here its just plain stinkin thinkin tom ,84,122,hamnspam\ham
Ben Hammersley wrote On Thursday Sep 19 2002 at 14 51 Europe London Bill Kearney wrote From the completely unrelated but funny department Talk like a Pirate Day http www washingtonpost com wp dyn articles A5011 2002Sep11 html Which is today of course That and piratecore rapping style http poorman blogspot com 2002_09_01_poorman_archive html 81798893 Anything just anything to get us off the geek dating tips topic Bill Kearney Arrr he be a scurvy dog that Bill Kearney Well shiver me timbers but my favorite pirate phrase is missing from both of those Arrr and wondering if there s a rap equivalent Owen http www quinion com words qa qa shi2 htm Q AND A SECTION SHIVER MY TIMBERS From Tad Spencer Please could you tell me where the phrase shiver my timbers originated This is one of those supposedly nautical expressions that seem to be better known through a couple of appearances in fiction than by any actual sailors usage It s an exclamation that may allude to a ship striking some rock or other obstacle so hard that her timbers shiver or shake so implying a calamity has occurred It is first recorded as being used by Captain Frederick Marryat in Jacob Faithful in 1835 I won t thrash you Tom Shiver my timbers if I do It has gained a firm place in the language because almost fifty years later Robert Louis Stevenson found it to be just the kind of old salt saying that fitted the character of Long John Silver in Treasure Island Cross me and you ll go where many a good man s gone before you some to the yard arm shiver my timbers and some by the board and all to feed the fishes Since then it s mainly been the preserve of second rate seafaring yarns ,212,305,hamnspam\ham
In a message dated Thu 22 Aug 2002 13 03 57 CDT Ulises Ponce said Thanks Tony but I think doing it using component files will get a signature by default but I have many diferent signatures and I want to insert one of that signatures using a keyboard command So for a message I will insert a signature but for another message I will insert a different signature Is it possible I am using sedit for my messages Ahm if you don t object to using a mouse for such things exmh has the ability to insert different sigs on demand Create a bunch of different sig files all beginning with signature and at start up exmh will load them all In the Sedit window you ll see a Sign menu item which will allow you to select between each of the listed signature files for that e mail You can actually use several if you d like though I don t remember what Preferences option allows for this However the signature gets added on send not inserted directly into the existing Sedit window prior to composition I currently have 6 different sig files I can choose between Additionally if a signature file has the execute bit turned on exmh will attempt to execute the file and use the stdout of the script as your signature I hope this helps some Seeya Paul It may look like I m just sitting here doing nothing but I m really actively waiting for all my problems to go away If you re not having fun you re not doing it right _______________________________________________ Exmh users mailing list Exmh users redhat com https listman redhat com mailman listinfo exmh users ,168,287,hamnspam\ham
On Aug 25 Joe Berry wrote Very good advice given above Yes One more problem solved No One more problem in some software worked around by using tricks in another piece of software The solution is the aggregator This sf net email is sponsored by OSDN Tired of that same old cell phone Get a new here for FREE https www inphonic com r asp r sourceforge1 refcode1 vs3390 _______________________________________________ Razor users mailing list Razor users lists sourceforge net https lists sourceforge net lists listinfo razor users ,69,87,hamnspam\ham
HELP I had GPG working I updated from version gnupg 1 0 6 to gnupg 1 0 7 This moved gpg from usr bin to usr local bin and I changed the path in the exmh executable With that fix EXMH knows I have GPG and puts the line Check the signature with GnuPG in messages with GnuPG signatures But punching the line ALWAYS gives Signature made Thu Aug 29 00 27 17 2002 MDT using DSA key ID BDDF997A Can t check signature public key not found So something else is missing Can somebody tell me what it is Ive tried grepping on everything that I can think of with no luck at all Reg Clemens reg dwf com _______________________________________________ Exmh users mailing list Exmh users redhat com https listman redhat com mailman listinfo exmh users ,103,137,hamnspam\ham
 Neil Schemenauer These results are from timtest py I ve got three sets of spam and ham with about 500 messages in each set Here s what happens when I enable my latest received header code If you ve still got the summary files please cvs up and try running cmp py again in the process of generalizing cmp py you managed to make it skip half the lines wink That is if you ve got N sets you should get N 2 N pairs for each error rate You have 3 sets so you should get 6 pairs of f n rates and 6 pairs of f p rates false positive percentages 0 187 0 187 tied 0 749 0 562 won 24 97 0 780 0 585 won 25 00 won 2 times tied 1 times lost 0 times total unique fp went from 19 to 17 false negative percentages 2 072 1 318 won 36 39 2 448 1 318 won 46 16 0 574 0 765 lost 33 28 won 2 times tied 0 times lost 1 times total unique fn went from 43 to 28 Looks promising Getting 6 lines of output for each block would give a clearer picture of course Anthony s header counting code does not seem to help It helps my test data too much wink sigh ,140,226,hamnspam\ham
At 12 32 PM 12 28 00 0600 Adam Rifkin wrote I repeat IBM 76 8Gb ultra dma 100 hard drive at Fry s for 375 home of fast friendly courteous service R I kid you not That s a half a cent a Megabyte for storage Not El Cheapo storage but top of the line storage less than two years later we have 320 GB for the same price http www shareholder com maxtor news 20020909 89588 cfm Maxtor Driving Capacity Centric Enterprise Apps With Super Sized ATA Drives Maxtor Continues its Leadership in the Market it Pioneered with a New Category of High Density ATA Drives MILPITAS Calif September 9 2002 Maxtor Corporation NYSE MXO a worldwide leader in hard disk drives and data storage solutions today announced Maxtor MaXLineTM its newest generation of ATA drives designed specifically for rapidly emerging enterprise storage applications including near line media storage and network storage The MaXLine family features two critical differentiators huge capacities up to 320 GB for corporate archiving and media recording and unique manufacturing and quality for 24 7 operations with mean time to failure MTTF rates exceeding one million hours The MaXLine family is designed to bring hard disk drives into near line archive applications By adding a layer of MaXLine drives to archive architectures companies can instantly recover time critical data including executive e mail transaction data and accounting data that may need to be recovered on demand These new drives are designed to solve another enterprise problem with the storage of video media and audio conference call files Even compressed these files take up tremendous amounts of high cost server space Priced starting around 299 95 to 399 95 MSRP Maxtor s MaXLine family offers high capacity drives for enterprise applications at price points between traditional ATA and SCSI drives For system OEMs and white box builders MaXLine offers high density easy to integrate storage for use in entry level and mid size server environments The demand for instant recall of archived data is expanding as companies are meeting their obligations to quickly access executive e mails financial documents and transaction records said Mike Dooley senior director of marketing for the Desktop Products Group at Maxtor Users may not need to access information in these applications on a daily basis but when they do need access it must be instant Recent advances in ATA technology and our manufacturing processes allow us to build upon our legacy of experience and provide our customers with a family of premium ATA hard drives that can be integrated into a variety of systems for these enterprise applications The MaXLine family includes the 5400 RPM MaXLine II designed for capacities up to 320 GB and the 7200 RPM MaXLine Plus II designed for capacities up to 250 GB At these capacities MaXLine offers higher storage density than many tape and optical solutions These drives have also been tested and are projected to meet enterprise reliability requirements already exceeded by prior drives employing the same robust Maxtor designs which exceed MTTF of over one million hours These drives will also carry a three year warranty The MaXLine II and MaXLine Plus II feature the Maxtor Fast DriveTM UltraATA 133 interface for data transfer speeds up to 133 MB per second The MaXLine II and MaXLine Plus II will be available with next generation serial ATA interface for higher performance At 150 MB per second maximum data transfer rate serial ATA improves hard drive performance to keep pace with the rapidly increasing performance requirements of data intensive environments and enterprise applications With a point to point connection architecture and rich command set for managing hard drive activity and data flow along the interface serial ATA advances the performance and efficiency of the drive to system interface The interface s reduced pin count allows for simpler cabling which in turn allows better airflow within a system and further benefits the user with increased design flexibility and hot plug capability Maxtor s MaXLine family of drives provide a solution for storing data that has previously been too expensive to keep on disk said Dave Reinsel analyst at IDC The ATA drives offer a great value low cost per GB and when integrated into storage systems and file servers offer a compelling cost effective alternative to tape libraries and optical drives which have been the traditional solutions used for near line applications Availability Limited qualification units of the parallel ATA versions of Maxtor MaXLine II and MaXLine Plus II are now available with volume units available in the fourth quarter Qualification units of the MaXLine II and MaXLine Plus II with serial ATA will be available later this month with volume shipments scheduled to begin in the first quarter of 2003 About Maxtor Maxtor Corporation www maxtor com is one of the world s leading suppliers of information storage solutions The company has an expansive line of storage products for desktop computers storage systems high performance servers and consumer electronics Maxtor has a reputation as a proven market leader built by consistently providing high quality products and service and support for its customers Maxtor and its products can be found at www maxtor com or by calling toll free 800 2 MAXTOR Maxtor is traded on the NYSE under the MXO symbol Note Maxtor MaXLine and the Maxtor logo are registered trademarks of Maxtor Corporation Fast Drive is a trademark of Maxtor Corporation All other trademarks are properties of their respective owners GB means 1 billion bytes Total accessible capacity varies depending on operating environment This announcement relating to Maxtor may contain forward looking statements concerning future technology products incorporating that technology and Maxtor s execution These statements are based on current expectations and are subject to risks and uncertainties which could materially affect the company s results including but not limited to market demand for hard disk drives the company s ability to execute future production ramps and utilize manufacturing assets efficiently pricing competition and the significant uncertainty of market acceptance of new products These and other risk factors are contained in documents that the company files with the SEC including the Form 10 K for fiscal 2001 and its recent 10 Qs Copyright 2001 Maxtor Corporation Privacy Policy Udhay Shankar N udhay pobox com www digeratus com ,500,1054,hamnspam\ham
